PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,Rank
42.7,84.4,9.7,11.1,20.8,47.8,9.7,10.9,4.4,1.6,5,0.4,226,Severe
38.5,83.1,10.6,7.8,18.4,50.6,10.6,10.3,3.2,2.5,4.8,0.4,241,Severe
46.7,67.4,11.5,0.2,11.6,54.9,11.5,10.3,5.8,1.8,4.3,0.2,222,Severe
55.3,71.4,11.6,0.1,11.7,55.6,11.6,12.7,6.6,1.7,4.2,0.2,223,Severe
149,133.7,11.5,0.2,11.7,67.8,11.5,10.1,7.3,1.7,5.7,0.2,248,Severe
86.6,133.9,11.5,0.2,11.6,59.9,11.5,11.1,6.5,1.6,3.9,0.1,300,Severe
111.8,106.8,11.3,0.2,11.5,62.9,11.3,7.7,4.7,1.7,4.5,0.2,232,Severe
151.4,190.1,10.8,0.4,11.2,66,10.8,7.8,5.5,1,3.5,0.1,330,Hazardous
51.4,100.9,8,2.7,10.7,45.3,8,10,5.8,1.5,4.3,0.4,223,Severe
65.4,98.5,0.6,8.1,8.6,27.1,0.6,16.3,8,1.6,4.3,0.3,105,Very Unhealthy
56.3,91.6,0.6,8,8.5,25.7,0.6,18.9,6.2,1.5,3.7,0.3,101,Very Unhealthy
48.2,83.3,0.7,8,8.6,25,0.7,19,8,1.2,4.7,0.1,93,Moderate
33.6,60.5,0.7,7.9,8.6,23,0.7,11.3,10.2,0.6,3.9,0.1,67,Moderate
31.3,55.5,0.6,8.1,8.5,22.4,0.6,10.3,7.4,0.5,2.3,0.1,60,Moderate
48.1,98.5,0.7,7.9,8.4,26.2,0.7,1.3,6.3,5,21.8,1.5,97.5,Moderate
57.1,96.1,0.6,8.3,8.4,22.7,0.6,14.6,2.6,2.8,14.5,1.9,90,Moderate
34.7,73.7,0.1,9.7,7.9,22,0.1,13.6,4.9,1.4,5.2,0.4,78,Moderate
29.2,51.8,0.1,9.6,7.8,21.1,0.1,13.6,5.1,1.4,3.7,0.3,48,Good
29.8,53.1,0.1,8.6,8,20.6,0.1,15.1,5.3,0.4,1.1,0.1,53,Moderate
60,90.8,0.2,8.8,8.2,24.8,0.2,11.5,2.8,0.5,1.2,0.2,91,Moderate
19.2,47.4,1.5,9.5,9.7,24.2,1.5,11.2,4.6,1.3,3.3,0.2,70,Moderate
19.5,62.3,5.9,11.3,17.2,34.6,5.9,11.6,4.4,0.6,1.4,0.1,157,Very Unhealthy
35.2,72.5,5.8,10.9,16.6,35.9,5.8,14.7,3.7,1.6,3.7,0.5,158,Very Unhealthy
33,67.4,7,10.6,17.6,39.5,7,13,3.5,1.7,4,0.4,169,Very Unhealthy
41,75,6.9,10.5,17.4,40.1,6.9,19.8,3.4,2.1,5.1,0.4,174,Very Unhealthy
40.3,76.1,6.7,10.5,17.3,40.1,6.7,8.3,3.6,1.9,4.3,0.4,173,Very Unhealthy
41.2,73.9,6.9,10.5,17.4,40.5,6.9,13.5,3.7,1.8,4.2,0.3,172,Very Unhealthy
36.1,78.7,7.2,11.6,17.1,41.3,7.2,13.6,6.1,1.7,2.9,0.1,190,Very Unhealthy
28.5,68.6,6.7,20.5,27.2,37.7,6.7,5.7,7.7,1.4,2.2,0.1,171,Very Unhealthy
31.6,66.5,7,20.4,27.4,37.9,7,9.2,7.9,0.7,2.3,0.1,168,Very Unhealthy
42.6,72.7,7.2,20.4,27.6,39.9,7.2,6.3,9.9,1.4,2.9,0.3,172,Very Unhealthy
